X1	X2	year_date	letter_id	folio_or_catalogue
204	221	1594	L410	F16
205	613	1594	L411	F29
206	221	1594	L412	F16
79	201	1594	L413	F13
154	221	1594	L414	F16
207	7816	1594	L415	F13
175	68	1595	L416	F13
208	221	1595	L417	F16
209	7817	1595	L418	NA
146	7818	1595	L419	F33
210	221	1595	L420	F16
204	221	1595	L421	F16
211	68	1595	L422	F13
188	68	1595	L423	F13
176	221	1595	L424	F16
211	68	1595	L425	F13
26	7819	1595	L426	F27
212	221	1595	L427	F16
213	331	1595	L428	F8
154	221	1595	L429	F16
140	68	1595	L430	F13
205	119	1595	L431	NA
214	258	1595	L432	F28
215	221	1595	L433	F16
216	68	1595	L434	F13
217	68	1595	L435	F13
175	68	1595	L436	F13
205	119	1595	L437	NA
218	221	1595	L438	F16
219	221	1595	L439	F16
140	68	1595	L440	F13
175	68	1595	L441	F13
176	221	1595	L442	F16
212	221	1595	L443	F16
220	613	1595	L444	NA
187	258	1595	L445	F28
176	221	1595	L446	F16
221	7820	1595	L447	F16
222	7821	1596	L448	F27
176	221	1596	L449	F16
223	613	1596	L450	NA
175	68	1596	L451	F13
224	221	1596	L452	F16
221	224	1596	L453	F16
205	613	1596	L454	NA
199	79	1596	L455	F13
199	68	1596	L456	F13
130	101	1596	L457	F27
68	199	1596	L458	F13
156	221	1596	L459	F16
218	221	1596	L460	F16
225	138	1596	L461	F20
51	7822	1596	L462	F27
226	221	1597	L463	F16
130	7823	1597	L464	F34
227	241	1597	L465	F27
176	221	1597	L466	F16
218	221	1597	L467	F16
228	53	1597	L468	F27
221	154	1597	L469	F16
229	7824	1597	L470	F28
164	221	1597	L471	F16
228	26	1597	L472	F27
176	221	1597	L473	F16
218	221	1597	L474	F16
230	103	1597	L475	F22
218	221	1597	L476	F16
231	258	1597	L477	F28
229	7825	1597	L478	F28
228	7826	1598	L479	F27
232	107	1598	L480	F1
233	613	1598	L481	NA
218	221	1598	L482	F16
199	107	1598	L483	F27
234	613	1598	L484	NA
235	221	1598	L485	F16
112	221	1598	L486	F8
236	7827	1598	L487	F27
237	221	1598	L488	F16
112	7828	1598	L489	F8
68	7829	1598	L490	F13
176	221	1598	L491	F16
216	7830	1598	L492	F13
216	68	1598	L492	F13
205	613	1598	L493	NA
218	221	1598	L494	F16
218	221	1598	L495	F16
238	315	1598	L496	F28
238	315	1598	L497	F28
218	221	1598	L498	F16
239	221	1598	L499	F16
200	68	1598	L500	F13
240	53	1599	L501	F27
241	53	1599	L502	F27
242	53	1599	L503	F27
