X1	X2	year_date	letter_id	folio_or_catalogue
12	9938	1538	L278	F4
12	9954	1539	L279	F4
12	104	1539	L280	F4
33	9949	1539	L281	F7
33	9944	1539	L282	F7
19	41	1539	L283	F3
33	9949	1539	L284	F7
19	41	1539	L285	F3
33	9946	1539	L286	F7
33	9946	1539	L287	F7
33	9950	1539	L288	F7
33	9949	1539	L289	F7
19	41	1539	L290	F3
33	9946	1539	L291	F7
19	41	1539	L292	F3
33	9956	1539	L293	F7
33	9946	1539	L294	F7
33	9949	1539	L295	F7
33	9944	1539	L296	F7
33	9950	1539	L297	F7
19	41	1539	L298	F3
33	9950	1539	L299	F7
33	9957	1539	L300	F7
33	9949	1539	L301	F7
33	9957	1539	L302	F7
33	9957	1539	L303	F7
33	9949	1540	L304	F7
33	9951	1540	L304	F7
16	9911	1540	L305	F5
19	41	1540	L306	F3
33	9956	1540	L307	F7
33	9946	1540	L308	F7
33	9944	1540	L309	F7
19	41	1540	L310	F3
33	9957	1540	L311	F7
33	9950	1540	L312	F7
33	9944	1540	L313	F7
33	9948	1540	L314	F7
33	9957	1540	L315	F7
34	56	1540	L316	F4
33	9946	1540	L317	F7
33	9946	1540	L318	F7
33	9946	1540	L319	F7
33	9958	1541	L320	F7
33	9944	1541	L321	F7
33	9957	1541	L322	F7
33	9946	1541	L323	F7
33	9959	1541	L324	F7
33	9950	1541	L325	F7
35	33	1541	L326	F7
35	33	1541	L327	F7
19	41	1541	L328	F3
19	41	1541	L329	F3
19	41	1541	L330	F3
19	41	1541	L331	F3
36	33	1542	L332	F7
33	36	1542	L333	F7
33	40	1542	L334	F7
33	40	1542	L335	F7
33	9948	1542	L336	F7
36	33	1542	L337	F7
33	40	1542	L338	F7
33	40	1542	L339	F7
33	40	1542	L340	F7
33	40	1542	L341	F7
33	40	1542	L342	F7
33	40	1542	L343	F7
33	36	1542	L344	F7
19	41	1542	L345	F3
33	40	1542	L346	F7
19	41	1542	L347	F3
19	41	1542	L348	F3
33	40	1542	L349	F7
33	40	1542	L350	F7
33	40	1542	L351	F7
33	9950	1542	L352	F7
37	9960	1542	L353	F4
35	33	1542	L354	F7
33	40	1542	L355	F7
38	19	1542	L356	F3
39	33	1543	L357	F7
33	40	1543	L358	F7
33	9950	1543	L359	F7
35	33	1543	L360	F7
35	33	1543	L361	F7
35	33	1543	L362	F7
19	41	1543	L363	F3
36	33	1543	L364	F7
33	40	1543	L365	F7
35	33	1543	L366	F7
40	35	1543	L367	F7
33	40	1543	L368	F7
33	40	1543	L369	F7
35	33	1543	L370	F7
40	33	1543	L371	F7
35	33	1543	L372	F7
33	40	1543	L373	F7
33	40	1543	L374	F7
40	33	1543	L375	F7
33	40	1543	L376	F7
33	40	1543	L377	F7
41	19	1543	L378	F3
33	40	1543	L379	F7
19	41	1543	L380	F3
19	41	1543	L381	F3
33	40	1543	L382	F7
19	41	1543	L383	F3
33	36	1543	L384	F7
33	40	1543	L385	F7
